Fecha;Encuestador;Latitud;Longitud;Barrio;Partido;Fuente
2026-04-13T13:54:21.664Z;Santiago;-27.387238;-56.846313;Núcleo 3;Partido Colorado;11 y santiago.csv
2026-04-11T18:02:14.274Z;;-27.387253;-56.864398;Yataity;Partido Colorado;11 y santiago.csv
2026-04-11T18:05:45.827Z;;-27.387259;-56.864248;Yataity;Partido Colorado;11 y santiago.csv
2026-04-11T18:18:46.748Z;;-27.387342;-56.863154;Yataity;Partido Colorado;11 y santiago.csv
2026-04-11T18:18:55.308Z;;-27.387395;-56.861943;Yataity;Partido Colorado;11 y santiago.csv
2026-04-11T17:51:19.579Z;;-27.387432;-56.865094;Yataity;Partido Colorado;11 y santiago.csv
2026-04-13T13:56:12.264Z;Santiago;-27.387451;-56.846345;Núcleo 3;Partido Colorado;11 y santiago.csv
2026-04-11T18:29:40.058Z;;-27.387608;-56.861438;Yataity;Partido Colorado;11 y santiago.csv
2026-04-11T18:27:03.690Z;;-27.387633;-56.862487;Yataity;Partido Colorado;11 y santiago.csv
2026-04-11T18:31:54.022Z;;-27.387746;-56.864887;Yataity;Partido Colorado;11 y santiago.csv
2026-04-11T17:43:56.205Z;;-27.387793;-56.865006;Virgen del pilar ;Partido Colorado;11 y santiago.csv
2026-04-11T17:47:56.559Z;;-27.387799;-56.864986;Yataity;Partido Colorado;11 y santiago.csv
2026-04-11T17:49:04.745Z;;-27.388116;-56.865159;Yataity;Partido Colorado;11 y santiago.csv
2026-04-11T17:36:06.641Z;Santiago;-27.388738;-56.866;Virgen del pilar ;Partido Colorado;11 y santiago.csv
2026-04-11T17:39:29.558Z;Santiago;-27.388769;-56.866245;;Partido Colorado;11 y santiago.csv
2026-04-11T18:41:23.737Z;Santiago;-27.389758;-56.856182;Santa ana;Partido Colorado;11 y santiago.csv
2026-04-11T18:38:26.812Z;Santiago;-27.389772;-56.855832;Santa ana ;Partido Colorado;11 y santiago.csv
2026-04-11T18:33:11.082Z;;-27.39021;-56.856058;Santa Ana ;Partido Colorado;11 y santiago.csv
2026-04-11T18:29:31.121Z;;-27.390319;-56.856256;Santa Ana ;Partido Colorado;11 y santiago.csv
2026-04-11T18:25:22.261Z;Santiago;-27.390395;-56.856639;Santa ana;Partido Colorado;11 y santiago.csv
2026-04-11T18:29:18.252Z;Santiago;-27.390419;-56.855742;Santa ana ;Partido Colorado;11 y santiago.csv
2026-04-11T18:26:47.407Z;;-27.390432;-56.85657;Santa Ana ;Partido Colorado;11 y santiago.csv
2026-04-11T18:18:03.738Z;Santiago;-27.390497;-56.856982;;Partido Colorado;11 y santiago.csv
2026-04-11T14:19:20.410Z;;-27.390499;-56.842384;San antonio;Partido Colorado;11 y santiago.csv
2026-04-11T18:18:39.622Z;;-27.390573;-56.857167;Santa Ana ;Partido Colorado;11 y santiago.csv
2026-04-11T18:12:36.416Z;;-27.390587;-56.857373;Santa Ana ;Partido Colorado;11 y santiago.csv
2026-04-11T18:15:19.133Z;;-27.390677;-56.857246;Santa Ana ;Partido Colorado;11 y santiago.csv
2026-04-11T14:23:07.323Z;Santiago;-27.390747;-56.843049;San Antonio ;Partido Colorado;11 y santiago.csv
2026-04-11T18:09:33.925Z;Santiago;-27.390789;-56.856974;100;Partido Colorado;11 y santiago.csv
2026-04-11T18:08:13.567Z;;-27.390848;-56.857561;Santa Ana ;Partido Colorado;11 y santiago.csv
2026-04-11T18:03:18.231Z;;-27.391259;-56.858018;Santa Ana;Partido Colorado;11 y santiago.csv
2026-04-11T18:00:37.311Z;;-27.391436;-56.858046;Santa Ana ;Partido Colorado;11 y santiago.csv
2026-04-11T14:36:19.021Z;;-27.391614;-56.844004;San Antonio ;Partido Colorado;11 y santiago.csv
2026-04-11T17:57:47.177Z;;-27.391637;-56.857807;Santa Ana ;Partido Colorado;11 y santiago.csv
2026-04-11T17:06:33.781Z;Santiago;-27.391755;-56.865606;;Partido Colorado;11 y santiago.csv
2026-04-11T17:16:46.112Z;Santiago;-27.391776;-56.862605;Virgen del pilar ;Partido Colorado;11 y santiago.csv
2026-04-11T17:56:28.330Z;Santiago;-27.391862;-56.858012;;Partido Colorado;11 y santiago.csv
2026-04-11T18:02:38.068Z;Santiago;-27.391878;-56.857014;100;Partido Colorado;11 y santiago.csv
