Timestamp;ENCUESTADOR ;;Datos DemogrÃ¡ficos (Seleccione mÃºltiples);Â¿A quÃ© partido pertenece o tiene afinidad?;Latitud;Longitud;Barrio o CompaÃ±Ã­a;CalificaciÃ³n: GestiÃ³n del Intendente Municipal;CalificaciÃ³n: GestiÃ³n del Presidente de la RepÃºblica;Pre-candidatos a Intendente Municipal;Pre-candidatos a Concejal Municipal;Â¿QuÃ© servicio pÃºblico debe mejorar la municipalidad?
2026-04-11T18:12:36.416Z;;;Varón,Mayor;Partido Colorado;-27.390.587.101.676.000;-56.857.373.370.800.500;Santa Ana ;Mala;Muy Mala;Jose Mutti;Ninguna ;Agua 
2026-04-11T18:15:19.133Z;;;Varón,Mayor;Partido Colorado;-27.390.677.275.791.000;-5.685.724.560.334.450;Santa Ana ;Mala;Mala;Jose Mutti;Sofia Troche ;RecolecciÃ³n de basura 
2026-04-11T14:23:07.323Z;Santiago;;Varón,Mayor;Partido Colorado;-27.390.747;-568.430.486;San Antonio ;Mala;Muy Mala;Jose Mutti;Ns nr;Todo 
2026-04-11T18:09:33.925Z;Santiago;;Varón;Partido Colorado;-273.907.891;-568.569.741;100;Mala;Muy Mala;Jose Mutti;Carlos ;La iluminaciÃ³n 
2026-04-11T18:08:13.567Z;;;Varón,Joven;Partido Colorado;-2.739.084.813.918.870;-5.685.756.097.651.700;Santa Ana ;Mala;Buena;Christian Rolon;Miguel MArin ;Camino 
2026-04-11T18:03:18.231Z;;;Mujer,Mayor;Partido Colorado;-27.391.259.362.170.600;-56.858.018.356.542.500;Santa Ana;Muy Mala;Muy Mala;Christian Rolon;Ninguno ;IluminaciÃ³n 
2026-04-11T18:00:37.311Z;;;Mujer,Mayor;Partido Colorado;-2.739.143.621.146.500;-56.858.045.633.572.300;Santa Ana ;Mala;Muy Mala;Christian Rolon;Ninguno ;RecolecciÃ³n de basura 
2026-04-11T14:36:19.021Z;;;Varón,Joven;Partido Colorado;-273.916.144;-56.844.004;San Antonio ;Buena;Muy Mala;Christian Rolon;Willian Aquino;
2026-04-11T17:57:47.177Z;;;Mujer,Mayor;Partido Colorado;-2.739.163.711.148.710;-5.685.780.685.896.880;Santa Ana ;Buena;Buena;Christian Rolon;Cecilio Arias ;Camino 
2026-04-11T17:06:33.781Z;Santiago;;Mujer,Mayor;Partido Colorado;-273.917.553;-568.656.057;;Buena;Excelente;Christian Rolon;;Trabajos 
2026-04-11T17:16:46.112Z;Santiago;;Mujer,Mayor;Partido Colorado;-273.917.757;-568.626.054;Virgen del pilar ;NS/NR;Buena;;Ns nr;Agua, electricidad 
2026-04-11T17:56:28.330Z;Santiago;;Mujer;Partido Colorado;-273.918.615;-568.580.118;;Buena;Muy Mala;Christian Rolon;Wlian;Mas trabajo 
2026-04-11T18:02:38.068Z;Santiago;;Mayor;Partido Colorado;-273.918.776;-568.570.139;100;Buena;Buena;Jose Mutti;Sofi;Falta de trabajo
2026-04-11T18:06:22.621Z;Santiago;;Mayor;Partido Colorado;-273.919.094;-568.566.187;100;Muy Mala;Muy Mala;Gabriel Alfonso;Jose gimenez;Todo
2026-04-11T17:14:21.971Z;Santiago;;Mujer,Mayor;Partido Colorado;-273.919.127;-568.628.758;Virgen del pilar ;Buena;Buena;Jose Mutti;;Agua 
2026-04-11T17:59:53.224Z;Santiago;;Mujer;Partido Colorado;-273.919.375;-568.576.872;Santa ana 100;;Mala;Jose Mutti;;Limpieza de basura 
2026-04-11T18:04:43.859Z;Santiago;;Mujer;;-273.919.414;-568.566.399;100;Buena;Mala;Christian Rolon;;Todo 
2026-04-11T14:28:14.827Z;Santiago;;Mujer,Adulto Mayor;Partido Colorado;-273.919.498;-568.446.045;San Antonio ;Mala;Mala;;Ns nr ;Agua 
2026-04-11T14:44:00.924Z;;;Varón,Mayor;Partido Colorado;-273.919.687;-568.446.741;San antonio;Buena;Buena;Jose Mutti;Willian Aquino;
2026-04-11T14:34:12.116Z;;;Varón,Mayor;Partido Colorado;-2.739.267;-568.458.755;San Antonio ;Mala;Muy Mala;Jose Mutti;Diosnel bogado;Documentos pÃºblicos 
2026-04-11T14:39:56.724Z;;;;Partido Colorado;-273.930.998;-568.464.676;San Antonio ;Mala;Mala;;Ns nr;Todo 
2026-04-11T15:03:03.451Z;;;Mujer,Mayor;Partido Colorado;-273.932.908;-568.469.262;San antonio;Buena;Mala;Christian Rolon;Willian Aquino ;Basura
2026-04-11T14:48:24.392Z;;;Mujer,Mayor;Partido Colorado;-273.933.541;-568.678.831;Lima;Mala;Buena;Christian Rolon;David Vega;Hermosear  y trabajo
2026-04-11T14:48:57.658Z;Santiago;;Varón,Mayor;;-273.934.285;-568.470.077;;Buena;Buena;Christian Rolon;Jose Carozo;Todo 
2026-04-11T14:51:31.216Z;;;Varón,Mayor;Partido Colorado;-273.934.415;-568.675.465;Lima;Excelente;Excelente;Christian Rolon;Dennis cardozo;Arreglo de vÃ­as pÃºblicas y limpieza 
2026-04-11T14:43:52.396Z;;;Joven;Partido Colorado;-273.936.951;-568.676.326;Lima;Mala;Muy Mala;;Ninguna ;Las vÃ­as publicas
2026-04-11T14:56:35.208Z;;;Varón,Mayor;Partido Colorado;-273.939.475;-568.672.883;Lima;NS/NR;Buena;Jose Mutti;Ninguno;En todo 
2026-04-11T14:59:30.375Z;;;Varón,Mayor;Partido Colorado;-273.942.637;-568.673.673;Lima;Excelente;Buena;Christian Rolon;Ninguno;En todo
2026-04-11T15:08:32.046Z;;;Varón,Joven;Partido Colorado;-273.947.566;-568.494.005;San antonio ;Buena;Buena;Jose Mutti;Alvarenga;Todo
2026-04-11T17:34:37.110Z;;;;Partido Colorado;-273.948.673;-568.654.411;Lima;Mala;Muy Mala;;;Todo
2026-04-11T15:10:33.866Z;;;Mujer,Mayor;Partido Colorado;-273.948.948;-568.665.892;Lima;Buena;Mala;Christian Rolon;William Aquino ;Fomentar mÃ¡s turismo 
2026-04-11T15:14:44.430Z;;;Mujer,Joven;Partido Colorado;-273.951.142;-568.664.756;Lima;Buena;Buena;Christian Rolon;Miguel Marin;Agua 
2026-04-11T17:30:16.365Z;;;;Partido Colorado;-273.952.445;-568.651.516;Lima;NS/NR;NS/NR;;;Todo
2026-04-11T15:19:08.236Z;;;Mujer,Mayor;Partido Colorado;-273.952.892;-568.660.949;Lima;Buena;Buena;Christian Rolon;Nadie;La iluminaciÃ³n en las calles principales 
2026-04-11T17:28:54.615Z;;;;Partido Colorado;-273.952.901;-568.650.852;Lima;Muy Mala;Buena;;;Agua potable 
2026-04-11T17:35:55.370Z;;;Varón,Joven;Partido Colorado;-2.739.552.055.538.870;-56.864.922.028.698.900;Lima ;Mala;Muy Mala;Jose Mutti;Elias leguizamon ;Camino 
2026-04-11T17:37:30.594Z;;;Varón,Mayor;Partido Colorado;-27.395.663.118.844.000;-5.686.483.758.834.030;Lima ;Muy Mala;Muy Mala;Jose Mutti;Ninguno ;Agua
2026-04-11T15:22:48.340Z;;;Varón,Mayor;Partido Colorado;-273.959.984;-568.664.409;Lima;Mala;;;Ninguna ;Falta de agua, recolecciÃ³n de basura 
2026-04-11T17:24:05.911Z;;;;Partido Colorado;-273.960.229;-568.644.662;Lima;Buena;;Jose Mutti;;Veredas
2026-04-11T15:25:54.248Z;;;Mujer,Varón,Mayor;Partido Colorado;-273.962.888;-568.665.684;Lima;Buena;Mala;Christian Rolon;Ninguno;NingÃºno 
2026-04-11T15:12:12.132Z;;;;Partido Colorado;-273.962.912;-568.513.129;San Antonio ;Mala;Mala;Jose Mutti;;Todo
2026-04-11T17:26:52.571Z;;;Varón,Mayor;Partido Colorado;-27.396.504.081.419.100;-56.864.202.084.256.700;Lima ;Muy Mala;Muy Mala;Jose Mutti;Ninguno ;Agua 
2026-04-11T17:19:16.350Z;;;;Partido Colorado;-273.965.086;-568.640.884;Lima;Mala;Mala;;;Agua potable 
